Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hi,5.391867,5.7113853,0.0,0,1,1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad-cam-audio-1716395233841,B,0,0,1,0,hi,5.391867,5.7113853,0.0,1,5.391867
hello,7.56,7.96,0.0,1,0,1716395231615-a8955554-de44-41f4-8edf-5b8ab8e7ac3d-cam-audio-1716395232654,A,0,0,2,0,hello,7.56,7.96,0.0,1,6.635692649999999
can,11.622469,11.782228,6.230602,0,1,1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad-cam-audio-1716395233841,B,0,0,3,0,can you hear me oh okay okay,11.622469,14.351502,0.5,7,12.8373745
you,11.782228,11.941987,0.1597589999999993,0,1,1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad-cam-audio-1716395233841,B,0,0,3,0,can you hear me oh okay okay,11.622469,14.351502,0.5,7,12.8373745
hear,11.941987,12.181626,0.1597589999999993,0,1,1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad-cam-audio-1716395233841,B,0,0,3,0,can you hear me oh okay okay,11.622469,14.351502,0.5,7,12.8373745
me,12.181626,12.341385,0.2396390000000003,0,1,1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad-cam-audio-1716395233841,B,0,0,3,0,can you hear me oh okay okay,11.622469,14.351502,0.5,7,12.8373745
oh,13.474352,13.554092,1.292726,0,1,1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad-cam-audio-1716395233841,B,0,0,3,0,can you hear me oh okay okay,11.622469,14.351502,0.5,7,12.8373745
okay,13.873056,13.952798,0.3987040000000004,0,1,1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad-cam-audio-1716395233841,B,0,0,3,0,can you hear me oh okay okay,11.622469,14.351502,0.5,7,12.8373745
yeah,13.972539,14.05228,6.412539,1,0,1716395231615-a8955554-de44-41f4-8edf-5b8ab8e7ac3d-cam-audio-1716395232654,A,1,0,3,0,yeah,13.972539,14.05228,0.0,1,10.9662695
okay,14.271761,14.351502,0.3987049999999996,0,1,1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad-cam-audio-1716395233841,B,0,0,3,0,can you hear me oh okay okay,11.622469,14.351502,0.5,7,12.8373745
