Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hello,5.3722057,5.8722057,0.0,1,0,1716394969549-478f5e8c-8104-4d21-9dff-0f2f97e61d96-cam-audio-1716394974941,A,0,0,1,0,hello i'm doing good how you,5.3722057,9.192441,0.7,6,5.3722057
i'm,7.8394413,8.078206,2.4672355999999995,1,0,1716394969549-478f5e8c-8104-4d21-9dff-0f2f97e61d96-cam-audio-1716394974941,A,0,0,1,0,hello i'm doing good how you,5.3722057,9.192441,0.7,6,5.3722057
doing,8.078206,8.316971,0.2387646999999999,1,0,1716394969549-478f5e8c-8104-4d21-9dff-0f2f97e61d96-cam-audio-1716394974941,A,0,0,1,0,hello i'm doing good how you,5.3722057,9.192441,0.7,6,5.3722057
good,8.316971,8.476147,0.2387650000000007,1,0,1716394969549-478f5e8c-8104-4d21-9dff-0f2f97e61d96-cam-audio-1716394974941,A,0,0,1,0,hello i'm doing good how you,5.3722057,9.192441,0.7,6,5.3722057
how,8.635324,8.7945,0.3183530000000001,1,0,1716394969549-478f5e8c-8104-4d21-9dff-0f2f97e61d96-cam-audio-1716394974941,A,0,0,1,0,hello i'm doing good how you,5.3722057,9.192441,0.7,6,5.3722057
hello,8.792835,9.111128,0.0,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,Both,0,1,1,1,hello are,8.792835,9.111128,0.0,2,8.992638
are,8.7945,8.953676,0.1591759999999986,1,0,1716394969549-478f5e8c-8104-4d21-9dff-0f2f97e61d96-cam-audio-1716394974941,Both,0,1,1,1,hello are,8.792835,9.111128,0.0,2,8.992638
you,8.953676,9.192441,0.1591760000000004,1,0,1716394969549-478f5e8c-8104-4d21-9dff-0f2f97e61d96-cam-audio-1716394974941,A,0,0,1,0,hello i'm doing good how you,5.3722057,9.192441,0.7,6,5.3722057
how,11.100457,11.2596035,2.3076220000000003,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,B,0,0,2,0,how are you i'm doing alright thank you alright so i think guess we got a negotiator here so let's just start out here how does fifty percent of the ip so about the a hundred and thirty seven thousand five hundred dollars sound to you as well as ed your your six months sum somatic at a rate of think it's like what it like where is it here i apologize a ten thousand dollars a month for those six months so sixty thousand top of the hundred and thirty seven so about a hundred and ninety lola shy or two hundred thousand,11.100457,58.990635,0.1,104,34.892916
are,11.2596035,11.339176,0.1591465000000003,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,B,0,0,2,0,how are you i'm doing alright thank you alright so i think guess we got a negotiator here so let's just start out here how does fifty percent of the ip so about the a hundred and thirty seven thousand five hundred dollars sound to you as well as ed your your six months sum somatic at a rate of think it's like what it like where is it here i apologize a ten thousand dollars a month for those six months so sixty thousand top of the hundred and thirty seven so about a hundred and ninety lola shy or two hundred thousand,11.100457,58.990635,0.1,104,34.892916
you,11.339176,11.498323,0.0795724999999993,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,B,0,0,2,0,how are you i'm doing alright thank you alright so i think guess we got a negotiator here so let's just start out here how does fifty percent of the ip so about the a hundred and thirty seven thousand five hundred dollars sound to you as well as ed your your six months sum somatic at a rate of think it's like what it like where is it here i apologize a ten thousand dollars a month for those six months so sixty thousand top of the hundred and thirty seven so about a hundred and ninety lola shy or two hundred thousand,11.100457,58.990635,0.1,104,34.892916
i'm,14.223474,14.463158,2.884298,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,B,0,0,2,0,how are you i'm doing alright thank you alright so i think guess we got a negotiator here so let's just start out here how does fifty percent of the ip so about the a hundred and thirty seven thousand five hundred dollars sound to you as well as ed your your six months sum somatic at a rate of think it's like what it like where is it here i apologize a ten thousand dollars a month for those six months so sixty thousand top of the hundred and thirty seven so about a hundred and ninety lola shy or two hundred thousand,11.100457,58.990635,0.1,104,34.892916
doing,14.463158,14.702842,0.2396840000000004,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,B,0,0,2,0,how are you i'm doing alright thank you alright so i think guess we got a negotiator here so let's just start out here how does fifty percent of the ip so about the a hundred and thirty seven thousand five hundred dollars sound to you as well as ed your your six months sum somatic at a rate of think it's like what it like where is it here i apologize a ten thousand dollars a month for those six months so sixty thousand top of the hundred and thirty seven so about a hundred and ninety lola shy or two hundred thousand,11.100457,58.990635,0.1,104,34.892916
alright,14.702842,14.862631,0.2396840000000004,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,B,0,0,2,0,how are you i'm doing alright thank you alright so i think guess we got a negotiator here so let's just start out here how does fifty percent of the ip so about the a hundred and thirty seven thousand five hundred dollars sound to you as well as ed your your six months sum somatic at a rate of think it's like what it like where is it here i apologize a ten thousand dollars a month for those six months so sixty thousand top of the hundred and thirty seven so about a hundred and ninety lola shy or two hundred thousand,11.100457,58.990635,0.1,104,34.892916
thank,15.022421,15.18221,0.3195789999999991,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,B,0,0,2,0,how are you i'm doing alright thank you alright so i think guess we got a negotiator here so let's just start out here how does fifty percent of the ip so about the a hundred and thirty seven thousand five hundred dollars sound to you as well as ed your your six months sum somatic at a rate of think it's like what it like where is it here i apologize a ten thousand dollars a month for those six months so sixty thousand top of the hundred and thirty seven so about a hundred and ninety lola shy or two hundred thousand,11.100457,58.990635,0.1,104,34.892916
you,15.18221,15.341999,0.1597889999999999,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,B,0,0,2,0,how are you i'm doing alright thank you alright so i think guess we got a negotiator here so let's just start out here how does fifty percent of the ip so about the a hundred and thirty seven thousand five hundred dollars sound to you as well as ed your your six months sum somatic at a rate of think it's like what it like where is it here i apologize a ten thousand dollars a month for those six months so sixty thousand top of the hundred and thirty seven so about a hundred and ninety lola shy or two hundred thousand,11.100457,58.990635,0.1,104,34.892916
alright,16.86,16.939894,1.67779,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,B,0,0,2,0,how are you i'm doing alright thank you alright so i think guess we got a negotiator here so let's just start out here how does fifty percent of the ip so about the a hundred and thirty seven thousand five hundred dollars sound to you as well as ed your your six months sum somatic at a rate of think it's like what it like where is it here i apologize a ten thousand dollars a month for those six months so sixty thousand top of the hundred and thirty seven so about a hundred and ninety lola shy or two hundred thousand,11.100457,58.990635,0.1,104,34.892916
so,17.179579,17.259474,0.3195790000000009,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,B,0,0,2,0,how are you i'm doing alright thank you alright so i think guess we got a negotiator here so let's just start out here how does fifty percent of the ip so about the a hundred and thirty seven thousand five hundred dollars sound to you as well as ed your your six months sum somatic at a rate of think it's like what it like where is it here i apologize a ten thousand dollars a month for those six months so sixty thousand top of the hundred and thirty seven so about a hundred and ninety lola shy or two hundred thousand,11.100457,58.990635,0.1,104,34.892916
i,17.339367,17.499157,0.1597879999999989,0,1,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,B,0,0,2,0,how are you i'm doing alright thank you alright so i think guess we got a negotiator here so let's just start out here how does fifty percent of the ip so about the a hundred and thirty seven thousand five hundred dollars sound to you as well as ed your your six months sum somatic at a rate of think it's like what it like where is it here i apologize a ten thousand dollars a month for those six months so sixty thousand top of the hundred and thirty seven so about a hundred and ninety lola shy or two hundred thousand,11.100457,58.990635,0.1,104,34.892916
