Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hello,0.7580412,0.99742264,0.0,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,1,0,hello,0.7580412,0.99742264,0.0,1,0.7580412
hello,2.1898148,2.5083334,0.0,1,0,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,0,0,2,0,hello,2.1898148,2.5083334,0.0,1,1.59361872
can,3.0720618,3.2316494,2.3140206,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,3,0,can you hear me,3.0720618,3.6306183,0.0,4,2.7901976
you,3.2316494,3.391237,0.1595875999999996,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,3,0,can you hear me,3.0720618,3.6306183,0.0,4,2.7901976
hear,3.391237,3.4710307,0.1595876,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,3,0,can you hear me,3.0720618,3.6306183,0.0,4,2.7901976
me,3.4710307,3.6306183,0.0797937000000001,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,3,0,can you hear me,3.0720618,3.6306183,0.0,4,2.7901976
yes,4.3398147,4.578704,2.1499999,1,0,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,0,0,4,0,yes,4.3398147,4.578704,0.0,1,3.9852165
okay,5.386082,5.54567,1.9150513,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
great,5.7850513,5.9446387,0.3989693000000001,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
so,6.343608,6.662783,0.5585566999999996,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
thank,6.662783,6.822371,0.3191750000000004,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
you,6.822371,6.9819584,0.1595880000000002,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
so,6.9819584,7.1415462,0.1595873999999995,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
much,7.1415462,7.3011336,0.1595877999999997,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
for,7.3011336,7.4607215,0.1595874000000003,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
taking,7.4607215,7.700103,0.1595879,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
the,7.700103,7.85969,0.2393815000000003,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
time,7.85969,8.178865,0.1595869999999992,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
to,8.178865,8.258659,0.3191750000000004,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
meet,8.258659,8.498041,0.0797939999999997,0,1,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,0,0,5,0,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,51,11.247259499999998
