Pair_Speaker_turn,PairID,PersonID,Speaker,Speaker_original,Turn,Word,Start Time,End Time,Backchannel,Overlap,Contested,Duration,Sentiment,word_count,MergeKey,Cluster,word_count_scaled,Sentiment_scaled,Contested_scaled,StageCluster,Stage
20240521_1823_WBLMay0KGC4N_B_B_1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,1,hello,0.7580412,0.99742264,0.0,0.0,0.0,0.23938144,0.0,1,0KGC4N,Cluster 1,0.0,0.5,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_2,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,2,hello,2.1898148,2.5083334,0.0,0.0,0.0,0.3185186,0.0,1,0KGC4N,Cluster 1,0.0,0.5,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_B_B_3,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,3,can you hear me,3.0720618,3.6306183,0.0,0.0,0.0,0.5585564999999999,0.0,4,0KGC4N,Cluster 1,0.0030272452068617556,0.5,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_4,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,4,yes,4.3398147,4.578704,0.0,0.0,0.0,0.2388893000000003,0.0,1,0KGC4N,Cluster 1,0.0,0.5,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_B_B_5,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,5,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.0,0.0,0.0,19.393828,0.39,51,0KGC4N,Cluster 1,0.050454086781029264,0.6950000000000001,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_5,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,5,yes,16.868813,17.108437,1.0,0.0,0.0,0.2396239999999991,0.0,1,0KGC4N,Cluster 1,0.0,0.5,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_6,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,6,so i think i will very happy i could receive about half a million the on my pay yeah,25.909441,34.844414,0.0,0.0,0.0,8.934973,0.4166666666666667,19,0KGC4N,Cluster 1,0.018163471241170535,0.7083333333333334,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_B_B_7,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,7,okay well i think we could offer you around twenty five percent of the patent portfolio how does that sound,37.814056,50.774437,0.0,0.0,0.0,12.960380999999998,0.45,20,0KGC4N,Cluster 1,0.019172552976791123,0.725,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_8,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,8,well i think if you carefully in my patent i think it's how very new potential to for commercial development and think five hundred thousand either reasonable price yeah,51.993984,72.945076,0.0,0.0,0.0,20.951092000000003,0.0554545454545454,29,0KGC4N,Cluster 1,0.02825428859737639,0.5277272727272727,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_B_B_9,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,9,let's see what is the current value of your bio portfolio,78.687775,86.28543,0.0,0.0,0.0,7.597655000000003,0.0,11,0KGC4N,Cluster 1,0.010090817356205853,0.5,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_10,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,10,i'm sorry what's your question,91.607605,93.03978,0.0,0.0,0.0,1.4321749999999869,-0.5,5,0KGC4N,Cluster 1,0.004036326942482341,0.25,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_B_B_11,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,11,what is the current value of your bio portfolio,94.275375,97.151764,0.0,0.0,0.0,2.876389000000003,0.0,9,0KGC4N,Cluster 1,0.008072653884964682,0.5,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_12,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,12,so i think right now i think when the last time i checked with potential out within in venture capital think they estimate it it will have a row i think seven to eight hundred thousand and because i'm in a very tough situation i need to cloud you soon to fund my trip so yeah that's why i agree to sell my pattern below the actual value,98.70451,143.07353,0.0,0.0,0.0,44.369020000000006,-0.0439682539682539,68,0KGC4N,Cluster 1,0.0676084762865792,0.47801587301587306,0.0,0,Stage 1
20240521_1823_WBLMay0KGC4N_B_B_13,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,13,okay well the university can offer you let me one second we can offer you one hundred thousand or about about thirty six percent of the portfolio value and as well i know you're interested in discussing the somatic as well so we can offer you one hundred thousand plus the somatic leave,145.17764,178.15317,0.0,0.0,0.0,32.97552999999999,0.25,53,0KGC4N,Cluster 1,0.05247225025227043,0.625,0.0,0,Stage 1
