Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hello,1.7187784,2.038551,0.0,0,1,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,0,0,1,0,hello,1.7187784,2.038551,0.0,1,1.7187784
hi,2.44,2.76,0.0,1,0,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,0,0,2,0,hi,2.44,2.76,0.0,1,2.2392754999999998
how's,3.797301,3.9571874,2.0785226000000003,0,1,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,0,0,3,0,how's he gone,3.797301,4.356903,0.0,3,3.2786505
he,3.9571874,4.1970167,0.1598863999999999,0,1,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,0,0,3,0,how's he gone,3.797301,4.356903,0.0,3,3.2786505
gone,4.1970167,4.356903,0.2398292999999998,0,1,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,0,0,3,0,how's he gone,3.797301,4.356903,0.0,3,3.2786505
good,4.68,4.8399997,2.24,1,0,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,0,0,4,0,good how are you,4.68,5.4,0.7,4,4.518451499999999
how,5.0,5.08,0.3200000000000003,1,0,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,0,0,4,0,good how are you,4.68,5.4,0.7,4,4.518451499999999
are,5.08,5.24,0.08,1,0,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,0,0,4,0,good how are you,4.68,5.4,0.7,4,4.518451499999999
you,5.24,5.4,0.1600000000000001,1,0,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,0,0,4,0,good how are you,4.68,5.4,0.7,4,4.518451499999999
benoit,6.355483,6.595312,2.1584663000000006,0,1,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,0,0,5,0,benoit okay to we to restart,6.355483,15.560351,0.5,6,5.877741500000001
okay,7.9543467,8.194176,1.5988637,0,1,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,0,0,5,0,benoit okay to we to restart,6.355483,15.560351,0.5,6,5.877741500000001
to,14.603367,14.683116,6.6490203,0,1,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,0,0,5,0,benoit okay to we to restart,6.355483,15.560351,0.5,6,5.877741500000001
we,14.683116,14.922361,0.0797489999999996,0,1,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,0,0,5,0,benoit okay to we to restart,6.355483,15.560351,0.5,6,5.877741500000001
