Pair_Speaker_turn,PairID,PersonID,Speaker,Speaker_original,Turn,Word,Start Time,End Time,Backchannel,Overlap,Contested,Duration,Sentiment,word_count,groupId,Task_Conflict,Relationship_Conflict,StageCluster,Stage
20240521_1823_WBLMay0KGC4N_B_B_1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,hello,0.0003559654023354934,0.99742264,0.0,0.0,0.0,0.23938144,0.5,0.0,01HYGGKFHG8BZ3KW7ZDR0KGC4N,6.75,3.5,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_2,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,1,hello,0.001154035249738724,2.5083334,0.0,0.0,0.0,0.3185186,0.5,0.0,01HYGGKFHG8BZ3KW7ZDR0KGC4N,6.75,3.5,0,Stage 1
20240521_1823_WBLMay0KGC4N_B_B_3,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,2,can you hear me,0.001645799260935716,3.6306183,0.0,0.0,0.0,0.5585564999999999,0.5,0.0030272452068617556,01HYGGKFHG8BZ3KW7ZDR0KGC4N,6.75,3.5,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_4,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,3,yes,0.002352444056906254,4.578704,0.0,0.0,0.0,0.2388893000000003,0.5,0.0,01HYGGKFHG8BZ3KW7ZDR0KGC4N,6.75,3.5,0,Stage 1
20240521_1823_WBLMay0KGC4N_B_B_5,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,4,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.00293563289657615,24.77991,0.0,0.0,0.0,19.393828,0.6950000000000001,0.050454086781029264,01HYGGKFHG8BZ3KW7ZDR0KGC4N,6.75,3.5,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_5,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,5,yes,0.009336101082986588,17.108437,1.0,0.0,0.0,0.2396239999999991,0.5,0.0,01HYGGKFHG8BZ3KW7ZDR0KGC4N,6.75,3.5,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_6,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,6,so i think i will very happy i could receive about half a million the on my pay yeah,0.014375342348777053,34.844414,0.0,0.0,0.0,8.934973,0.7083333333333334,0.018163471241170535,01HYGGKFHG8BZ3KW7ZDR0KGC4N,6.75,3.5,0,Stage 1
20240521_1823_WBLMay0KGC4N_B_B_7,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,7,okay well i think we could offer you around twenty five percent of the patent portfolio how does that sound,0.021010968453661377,50.774437,0.0,0.0,0.0,12.960380999999998,0.725,0.019172552976791123,01HYGGKFHG8BZ3KW7ZDR0KGC4N,6.75,3.5,0,Stage 1
20240521_1823_WBLMay0KGC4N_A_A_8,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,8,well i think if you carefully in my patent i think it's how very new potential to for commercial development and think five hundred thousand either reasonable price yeah,0.02891485282137761,72.945076,0.0,0.0,0.0,20.951092000000003,0.5277272727272727,0.02825428859737639,01HYGGKFHG8BZ3KW7ZDR0KGC4N,6.75,3.5,0,Stage 1
20240521_1823_WBLMay0KGC4N_B_B_9,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,9,let's see what is the current value of your bio portfolio,0.04379395780695894,86.28543,0.0,0.0,0.0,7.597655000000003,0.5,0.010090817356205853,01HYGGKFHG8BZ3KW7ZDR0KGC4N,6.75,3.5,0,Stage 1
